,last_name,first_name,middle_name,suffix,nickname,full_name,race_ethnic_group,gender,type,state,birthday
0,Brown,Sherrod,,,,Sherrod Brown,WO,M,sen,OH,1952-11-09
1,Cantwell,Maria,,,,Maria Cantwell,WO,F,sen,WA,1958-10-13
2,Cardin,Benjamin,L.,,,Benjamin L. Cardin,WO,M,sen,MD,1943-10-05
3,Carper,Thomas,Richard,,,Thomas R. Carper,WO,M,sen,DE,1947-01-23
4,Casey,Robert,P.,Jr.,Bob,"Robert P. Casey, Jr.",WO,M,sen,PA,1960-04-13
5,Feinstein,Dianne,,,,Dianne Feinstein,WO,F,sen,CA,1933-06-22
6,Klobuchar,Amy,Jean,,,Amy Klobuchar,WO,F,sen,MN,1960-05-25
7,Menendez,Robert,,,Bob,Robert Menendez,HA,M,sen,NJ,1954-01-01
8,Sanders,Bernard,,,Bernie,Bernard Sanders,WO,M,sen,VT,1941-09-08
9,Stabenow,Debbie,Ann,,,Debbie Stabenow,WO,F,sen,MI,1950-04-29
10,Tester,Jon,,,,Jon Tester,WO,M,sen,MT,1956-08-21
11,Whitehouse,Sheldon,,,,Sheldon Whitehouse,WO,M,sen,RI,1955-10-20
12,Barrasso,John,A.,,,John Barrasso,WO,M,sen,WY,1952-07-21
13,Wicker,Roger,F.,,,Roger F. Wicker,WO,M,sen,MS,1951-07-05
14,Collins,Susan,M.,,,Susan M. Collins,WO,F,sen,ME,1952-12-07
15,Cornyn,John,,,,John Cornyn,WO,M,sen,TX,1952-02-02
16,Durbin,Richard,J.,,,Richard J. Durbin,WO,M,sen,IL,1944-11-21
17,Graham,Lindsey,O.,,,Lindsey Graham,WO,M,sen,SC,1955-07-09
18,Inhofe,James,M.,,Jim,James M. Inhofe,WO,M,sen,OK,1934-11-17
19,McConnell,Mitch,,,,Mitch McConnell,WO,M,sen,KY,1942-02-20
20,Merkley,Jeff,,,,Jeff Merkley,WO,M,sen,OR,1956-10-24
21,Reed,John,F.,,Jack,Jack Reed,WO,M,sen,RI,1949-11-12
22,Risch,James,E.,,,James E. Risch,WO,M,sen,ID,1943-05-03
23,Shaheen,Jeanne,,,,Jeanne Shaheen,WO,F,sen,NH,1947-01-28
24,Warner,Mark,R.,,,Mark R. Warner,WO,M,sen,VA,1954-12-15
25,Gillibrand,Kirsten,E.,,,Kirsten E. Gillibrand,WO,F,sen,NY,1966-12-09
26,Coons,Christopher,Andrew,,,Christopher A. Coons,WO,M,sen,DE,1963-09-09
27,Manchin,Joe,,III,,"Joe Manchin, III",WO,M,sen,WV,1947-08-24
28,Aderholt,Robert,B.,,,Robert B. Aderholt,WO,M,rep,AL,1965-07-22
29,Baldwin,Tammy,,,,Tammy Baldwin,WO,F,sen,WI,1962-02-11
30,Bass,Karen,,,,Karen Bass,AF,F,rep,CA,1953-10-03
31,Bennet,Michael,F.,,,Michael F. Bennet,WO,M,sen,CO,1964-11-28
32,Bilirakis,Gus,M.,,,Gus M. Bilirakis,WO,M,rep,FL,1963-02-08
33,Bishop,Sanford,D.,Jr.,,"Sanford D. Bishop, Jr.",AF,M,rep,GA,1947-02-04
34,Blackburn,Marsha,W.,,,Marsha Blackburn,WO,F,sen,TN,1952-06-06
35,Blumenauer,Earl,,,,Earl Blumenauer,WO,M,rep,OR,1948-08-16
36,Blumenthal,Richard,,,,Richard Blumenthal,WO,M,sen,CT,1946-02-13
37,Blunt,Roy,,,,Roy Blunt,WO,M,sen,MO,1950-01-10
38,Boozman,John,,,,John Boozman,WO,M,sen,AR,1950-12-10
39,Brady,Kevin,P.,,,Kevin Brady,WO,M,rep,TX,1955-04-11
40,Brooks,Mo,,,,Mo Brooks,WO,M,rep,AL,1954-04-29
41,Buchanan,Vern,,,,Vern Buchanan,WO,M,rep,FL,1951-05-08
42,Bucshon,Larry,,,,Larry Bucshon,WO,M,rep,IN,1962-05-31
43,Burgess,Michael,C.,,,Michael C. Burgess,WO,M,rep,TX,1950-12-23
44,Burr,Richard,M.,,,Richard Burr,WO,M,sen,NC,1955-11-30
45,Butterfield,George,Kenneth,Jr.,G.K.,G. K. Butterfield,AF,M,rep,NC,1947-04-27
46,Calvert,Ken,S.,,,Ken Calvert,WO,M,rep,CA,1953-06-08
47,Capito,Shelley,Moore,,,Shelley Moore Capito,WO,F,sen,WV,1953-11-26
48,Carson,André,,,,André Carson,AF,M,rep,IN,1974-10-16
49,Carter,John,R.,,,John R. Carter,WO,M,rep,TX,1941-11-06
50,Cassidy,Bill,,,,Bill Cassidy,WO,M,sen,LA,1957-09-28
51,Castor,Kathy,,,,Kathy Castor,WO,F,rep,FL,1966-08-20
52,Chabot,Steve,J.,,,Steve Chabot,WO,M,rep,OH,1953-01-22
53,Chu,Judy,M.,,,Judy Chu,AS,F,rep,CA,1953-07-07
54,Cicilline,David,N.,,,David N. Cicilline,WO,M,rep,RI,1961-07-15
55,Clarke,Yvette,D.,,,Yvette D. Clarke,AF,F,rep,NY,1964-11-21
56,Cleaver,Emanuel,,II,,Emanuel Cleaver,AF,M,rep,MO,1944-10-26
57,Clyburn,James,E.,,Jim,James E. Clyburn,AF,M,rep,SC,1940-07-21
58,Cohen,Steve,,,,Steve Cohen,WO,M,rep,TN,1949-05-24
59,Cole,Tom,,,,Tom Cole,IA,M,rep,OK,1949-04-28
60,Connolly,Gerald,E.,,,Gerald E. Connolly,WO,M,rep,VA,1950-03-30
61,Cooper,Jim,,,,Jim Cooper,WO,M,rep,TN,1954-06-19
62,Costa,Jim,,,,Jim Costa,HA,M,rep,CA,1952-04-13
63,Courtney,Joe,,,,Joe Courtney,WO,M,rep,CT,1953-04-06
64,Crapo,Michael,D.,,Mike,Mike Crapo,WO,M,sen,ID,1951-05-20
65,Crawford,Eric,A.,,Rick,"Eric A. ""Rick"" Crawford",WO,M,rep,AR,1966-01-22
66,Cuellar,Henry,,,,Henry Cuellar,HA,M,rep,TX,1955-09-19
67,Davis,Danny,K.,,,Danny K. Davis,AF,M,rep,IL,1941-09-06
