Name,Count,ProportionFemale
Mary,727750,0.9959409137753349
Susan,426926,0.9971095693398856
Linda,319645,0.9964898559339267
Karen,470307,0.9964087287665291
Donna,285209,0.9969180495706658
Lisa,868861,0.9970087275179804
Patricia,396220,0.9957498359497249
Debra,203633,0.9972990625291579
Cynthia,372219,0.9964429542822908
Deborah,262123,0.9970281127562252
Sandra,310789,0.9957688335172737
Barbara,238667,0.9966312896211039
Brenda,281985,0.9952337890313314
Pamela,282111,0.9970543509469677
Nancy,245461,0.9957427045436953
Sharon,236944,0.9940618880410561
Cheryl,195854,0.9972326324711265
Elizabeth,913676,0.9967712843502511
Teresa,254930,0.9968501157180403
Lori,284802,0.9973490354702566
Kathy,139871,0.9973904526313532
Diane,159865,0.9964970443811967
Carol,154723,0.9932201418018006
Laura,531379,0.996731146695673
Debbie,101939,0.9976750801950186
Kimberly,791170,0.9962890402821138
Kathleen,244597,0.9972158284852226
Julie,395802,0.9969201772603473
Denise,236947,0.995695239863767
Cindy,167223,0.996262475855594
Tammy,303335,0.9959780440766809
Janet,144876,0.9963347966536901
Robin,224699,0.8910453540069159
Kim,132523,0.9202855353410352
Theresa,177520,0.9966144659756647
Margaret,220005,0.9971682461762232
Laurie,112738,0.9961681065834058
Rebecca,545468,0.9969640748861528
Michelle,761942,0.9959156996201811
Christine,355948,0.9962691179610504
Janice,89182,0.9962436366082842
Catherine,251345,0.9972627265312618
Carolyn,144490,0.9968648349366738
Rhonda,143309,0.9968878437502181
Cathy,71356,0.9977717360838612
Tina,249744,0.996668588634762
Connie,95728,0.9897835534013036
Judy,70616,0.9962048261017333
Terri,95847,0.9925088943837574
Angela,594931,0.9968332462083839
Kelly,517554,0.8804859009881094
Ann,135383,0.9969272360636121
Diana,212927,0.9955618592287497
Sherry,124805,0.9962501502343656
Paula,138687,0.9959044467037286
Sheila,119330,0.9970837174222744
Dawn,236759,0.9965661284259522
Joyce,74833,0.9950690203519837
Maria,390413,0.9927461431868304
Beverly,70235,0.9942478821100591
Jennifer,1418558,0.9966536440526225
Annette,84150,0.9967914438502674
Wendy,210280,0.9960243484877307
Lynn,91826,0.8827456276000262
Valerie,188531,0.9971198370559748
Wanda,66038,0.9954117326387837
Jane,84582,0.9969851741505285
Betty,61332,0.9957118633013761
Peggy,52342,0.9972870734782775
Shirley,62312,0.9923610219540377
Bonnie,84005,0.9932742098684602
Beth,107704,0.9974838446111565
Vicki,56383,0.9978539630739762
Judith,68274,0.9964701057503589
Darlene,67810,0.9969768470727032
Jill,155551,0.9973449222441514
Amy,637888,0.9972236505468045
Suzanne,108500,0.997373271889401
Gloria,86349,0.9946727813871614
Joan,54916,0.9151795469444242
Katherine,401300,0.9972165462247695
Kathryn,228021,0.997184469851461
Martha,92026,0.994936213678743
Tracy,288498,0.8248168098219052
Jacqueline,265317,0.9963364578975339
Jean,70634,0.8006342554577116
Anita,80842,0.9965611934390539
Anne,123413,0.997050553831444
Michele,171011,0.9886206150481548
Gail,44154,0.9824930923585632
Stephanie,689612,0.9962921178865797
Leslie,233773,0.8794086571160913
Renee,138791,0.990345195293643
Ellen,76824,0.9978392169113819
Dorothy,62858,0.9971682204333577
Rita,56942,0.9971023146359453
Ruth,87867,0.9959028986991704
Rose,88886,0.9963998829961974
Joanne,56543,0.9973648373804007
Vickie,42292,0.996642390995933
Terry,228313,0.15999964960383334
Virginia,90783,0.9966954165427447
Marie,91056,0.9939268142681427
Anna,356899,0.9974726743420408
Regina,106834,0.9960686672782073
Maureen,56913,0.9973643982921301
Colleen,102255,0.9973106449562369
Phyllis,32213,0.9976717474311614
Melissa,729734,0.9966220568042602
Carla,107267,0.9966811787408989
Becky,52469,0.9979797594770246
Elaine,58457,0.9974682245069025
Penny,58351,0.9968466692944422
Victoria,396168,0.9975414470628622
Andrea,389760,0.9869201559934319
Sarah,833028,0.9971981734107377
Marilyn,58199,0.9963401433014313
Helen,74037,0.9968529248889069
Alice,90954,0.9976031840270906
Sue,28212,0.992733588543882
Sylvia,68672,0.9958498369058714
Julia,258457,0.9967925032016931
Sally,48726,0.9971062677010221
Tamara,115223,0.9965024344097967
Melanie,224249,0.9973199434557122
Sandy,51622,0.9177288752857309
Frances,61106,0.9867443458907472
Gina,136891,0.9970779671417405
Jeanne,36992,0.9980266003460208
Eileen,50301,0.9983698137213972
Joann,43075,0.9948694138131167
Pam,18423,0.9990772404060142
Yvonne,62964,0.9955053681468776
Jo,29919,0.97513285871854
Lorraine,38177,0.9978783036907038
Sherri,65242,0.9973023512461298
Evelyn,186796,0.9970984389387353
Loretta,38185,0.9975121120858976
Carrie,149584,0.9970050272756444
Dana,196588,0.8491667853582111
Monica,219322,0.9956046361058171
Sheryl,37111,0.99819460537307
Melinda,107244,0.997053448211555
Jackie,69625,0.6673177737881508
Patty,22074,0.9985503307058078
Toni,67237,0.9820337016821096
Doris,29255,0.9934028371218595
Charlene,53227,0.9966558325661788
Roberta,35108,0.9935912042839239
Belinda,48053,0.9974819470168356
Charlotte,181722,0.9988774061478523
Joy,74101,0.9892174194680233
Melody,79489,0.9980500446602675
Vanessa,236426,0.9960452742084204
Christina,437901,0.995537804206887
Glenda,27893,0.9981357329796006
Marcia,33531,0.9975246786555725
Shelly,75257,0.9895956522316861
Jeanette,54174,0.9957544209399343
Dianne,24064,0.9985871010638298
Holly,178332,0.9965345535293721
Norma,44651,0.9918478869454211
Gwendolyn,45152,0.9983167965981573
Lynne,22526,0.9962709757613425
Patti,17480,0.9986842105263158
Jan,26248,0.6634029259372143
Carmen,90186,0.945579136451334
Veronica,165301,0.9952450378400615
Vicky,26362,0.9937789242090889
Heidi,132865,0.9972829563842999
Teri,30530,0.9953488372093023
Yolanda,75184,0.9947063204937221
Deanna,103119,0.9977986598008126
Audrey,156230,0.9953722076425783
Lois,20494,0.9891187664682346
Tami,31906,0.997900081489375
Shelia,26497,0.9972827112503302
Marsha,32290,0.9967482192629297
Sheri,47382,0.9978472837786502
Jamie,335291,0.7585530181245544
Rosemary,39399,0.9978172034823218
Shelley,51905,0.9886523456314421
Lynda,24491,0.9992242048099301
Juanita,40332,0.995462659922642
Tammie,31417,0.996021262373874
Sara,322504,0.9970698037853795
Irene,46525,0.9969048898441698
Vivian,74238,0.9955952477168027
Crystal,317298,0.9963315243083789
Tracey,88937,0.911004418858293
April,226573,0.9970958587298575
Kay,18709,0.9792613180822064
Roxanne,39396,0.9988577520560463
Doreen,19929,0.9980932309699433
Shari,32087,0.9987222239536261
Jody,67885,0.6017971569566178
Rosa,62243,0.9926578089102389
Rachel,491136,0.9970782023716445
Louise,20883,0.9858736771536657
Marianne,23673,0.9989439445782115
Constance,31404,0.9980575722837856
Darla,27349,0.9992321474276938
Carole,14546,0.9995187680461982
Eva,94731,0.9975298476739399
Lydia,106516,0.9985542078185436
Karla,74300,0.9959084791386272
Dianna,29960,0.9988317757009346
June,30242,0.9763904503670392
Marlene,36777,0.9967914729314518
Alicia,205951,0.9968876091885934
Arlene,26953,0.9985530367677068
Grace,252998,0.9983003818212002
Jodi,74835,0.9880804436426806
Debora,14088,0.9987932992617831
Ramona,25583,0.9960520658249619
Natalie,331027,0.9978068254251163
Tanya,106460,0.9962521134698479
Lee,113557,0.22265470204390747
Chris,120736,0.12100781871190035
Gayle,14886,0.969770253929867
Annie,50697,0.9982050219934119
Stacy,176279,0.8934019367026135
Lillian,147021,0.998551227375681
Geraldine,17969,0.9968278702209361
Bernadette,24121,0.9975125409394304
Yvette,52493,0.9965519212085421
Cheri,23684,0.9994933288295896
Felicia,82776,0.9966294578138591
Ruby,89466,0.993483557999687
Joni,19076,0.9709582721744601
Janine,25610,0.9995704802811402
Dolores,17863,0.992778368695068
Esther,63064,0.9975104655587974
Ronda,25486,0.9951738209212901
Jenny,73612,0.99543552681628
Delores,13090,0.9991596638655462
Nora,81451,0.9982320659046543
Marjorie,23102,0.9991342740888235
Lauren,461666,0.9943985478679391
Maryann,20373,0.9994600697000933
Sherrie,20887,0.9997606166515057
Tonya,115004,0.9962175228687697
Edith,30109,0.9977083264140291
Cassandra,157910,0.9976505604458236
Sonya,57601,0.996840332633114
Alison,104911,0.9957392456463098
Betsy,23099,0.9997835404130049
Nina,66873,0.9979662943190825
Stacey,155033,0.9187592319054653
Robyn,53054,0.9833754288083839
Emily,770978,0.9979402784515252
Priscilla,65765,0.9974758610202995
Lynette,27448,0.9982876712328768
Caroline,165496,0.9985316865664426
Lora,29241,0.9976744981361787
Susie,15424,0.9988978215767634
Kimberley,33740,0.9967397747480735
Therese,13463,1.0
Claudia,69556,0.9936022773017424
Margie,12776,0.998512836568566
Myra,23846,0.9992870921747882
Christy,89356,0.9926138144053002
Josephine,64146,0.9990490443675366
Erin,317230,0.9716640922989629
Bridget,80501,0.9981366691097004
Ginger,31371,0.9986930604698607
Lucy,84601,0.9991844068037021
Pauline,19358,0.9990184936460378
Terrie,10977,0.9790470984786371
Patsy,10981,0.9655769055641563
Edna,16987,0.998587154883146
Marla,23257,0.9988390592079804
Janie,20724,0.9946438911407064
